Tid;Kanal A
(ns);(mV)

-3,99999989;3,73400600
-3,89999989;3,74015700
-3,79999989;3,74630900
-3,69999990;3,75246000
-3,59999990;3,75861200
-3,49999990;3,75861200
-3,39999990;3,75246000
-3,29999991;3,74630900
-3,19999991;3,74015700
-3,09999991;3,73400600
-2,99999992;3,73400600
-2,89999992;3,74015700
-2,79999992;3,74630900
-2,69999992;3,75246000
-2,59999993;3,75861200
-2,49999993;3,75861200
-2,39999993;3,75246000
-2,29999993;3,74630900
-2,19999994;3,74015700
-2,09999994;3,73400600
-1,99999994;3,73400600
-1,89999995;3,74015700
-1,79999995;3,74630900
-1,69999995;3,75246000
-1,59999995;3,75861200
-1,49999996;3,75861200
-1,39999996;3,75246000
-1,29999996;3,74630900
-1,19999997;3,74015700
-1,09999997;3,73400600
-0,99999997;3,73400600
-0,89999997;3,74015700
-0,79999998;3,74630900
-0,69999998;3,75246000
-0,59999998;3,75861200
-0,49999999;3,75861200
-0,39999999;3,75246000
-0,29999999;3,74630900
-0,19999999;3,74015700
-0,10000000;3,73400600
0,00000000;3,73400600
0,10000000;3,74015700
0,19999999;3,74630900
0,29999999;3,75246000
0,39999999;3,75861200
0,49999999;3,75861200
0,59999998;3,75246000
0,69999998;3,74630900
0,79999998;3,74015700
0,89999997;3,73400600
0,99999997;3,73400600
1,09999997;3,74015700
1,19999997;3,74630900
1,29999996;3,75246000
1,39999996;3,75861200
1,49999996;3,75861200
1,59999995;3,75246000
1,69999995;3,74630900
1,79999995;3,74015700
1,89999995;3,73400600
1,99999994;3,72785400
2,09999994;3,71555100
2,19999994;3,70324800
2,29999993;3,67864200
2,39999993;3,64788400
2,49999993;3,61712600
2,59999993;3,58636800
2,69999992;3,58021600
2,79999992;3,61097400
2,89999992;3,67864200
2,99999992;3,80167300
3,09999991;3,96776600
3,19999991;4,18922200
3,29999991;4,43528500
3,39999990;4,69980300
3,49999990;4,95816900
3,59999990;5,19192900
3,69999990;5,38877900
3,79999989;5,52411400
3,89999989;5,59793300
3,99999989;5,58562900
4,09999988;5,49950700
4,19999988;5,33956700
4,29999988;5,11811000
4,39999988;4,84744100
4,49999987;4,55831700
4,59999987;4,26919300
4,69999987;4,02928100
4,79999986;3,84473400
4,89999986;3,74630900
4,99999986;3,74015700
5,09999986;3,82012800
5,19999985;3,98006900
5,29999985;4,19537400
5,39999985;4,44143700
5,49999984;4,70595500
5,59999984;4,95201700
5,69999984;5,17962600
5,79999984;5,37032500
5,89999983;5,53641700
5,99999983;5,65944900
6,09999983;5,75787400
6,19999982;5,83169300
6,29999982;5,87475300
6,39999982;5,89936000
6,49999982;5,89936000
6,59999981;5,87475300
6,69999981;5,83169300
6,79999981;5,75787400
6,89999980;5,65944900
6,99999980;5,53641700
7,09999980;5,37032500
7,19999980;5,17962600
7,29999979;4,95201700
7,39999979;4,70595500
7,49999979;4,44143700
7,59999979;4,19537400
7,69999978;3,98006900
7,79999978;3,82627900
7,89999978;3,74015700
7,99999977;3,74015700
8,09999977;3,82627900
8,19999977;3,98006900
8,29999977;4,19537400
8,39999976;4,44143700
8,49999976;4,70595500
8,59999976;4,95201700
8,69999975;5,17962600
8,79999975;5,37647600
8,89999975;5,53641700
8,99999975;5,65944900
9,09999974;5,73941900
9,19999974;5,78248000
9,29999974;5,80093500
9,39999973;5,78863100
9,49999973;5,75787400
9,59999973;5,71481200
9,69999973;5,66560000
9,79999972;5,62869100
9,89999972;5,61023600
