Tid;Kanal A
(ns);(V)

-3,99999989;1,44211400
-3,89999989;1,44408200
-3,79999989;1,44740400
-3,69999990;1,45109500
-3,59999990;1,45392500
-3,49999990;1,45423200
-3,39999990;1,45195600
-3,29999991;1,44863400
-3,19999991;1,44518900
-3,09999991;1,44260600
-2,99999992;1,44143700
-2,89999992;1,44156000
-2,79999992;1,44254400
-2,69999992;1,44346700
-2,59999993;1,44334400
-2,49999993;1,44076000
-2,39999993;1,43590100
-2,29999993;1,43054900
-2,19999994;1,42599700
-2,09999994;1,42341300
-1,99999994;1,42341300
-1,89999995;1,42599700
-1,79999995;1,43054900
-1,69999995;1,43590100
-1,59999995;1,44076000
-1,49999996;1,44334400
-1,39999996;1,44346700
-1,29999996;1,44254400
-1,19999997;1,44156000
-1,09999997;1,44143700
-0,99999997;1,44260600
-0,89999997;1,44518900
-0,79999998;1,44863400
-0,69999998;1,45195600
-0,59999998;1,45423200
-0,49999999;1,45392500
-0,39999999;1,45109500
-0,29999999;1,44746600
-0,19999999;1,44414400
-0,10000000;1,44211400
0,00000000;1,44205200
0,10000000;1,44383600
0,19999999;1,44697300
0,29999999;1,45029500
0,39999999;1,45281700
0,49999999;1,45281700
0,59999998;1,45029500
0,69999998;1,44697300
0,79999998;1,44389800
0,89999997;1,44211400
0,99999997;1,44211400
1,09999997;1,44389800
1,19999997;1,44697300
1,29999996;1,45029500
1,39999996;1,45281700
1,49999996;1,45281700
1,59999995;1,45029500
1,69999995;1,44697300
1,79999995;1,44389800
1,89999995;1,44211400
1,99999994;1,44211400
2,09999994;1,44389800
2,19999994;1,44697300
2,29999993;1,45029500
2,39999993;1,45281700
2,49999993;1,45281700
2,59999993;1,45029500
2,69999992;1,44697300
2,79999992;1,44389800
2,89999992;1,44211400
2,99999992;1,44211400
3,09999991;1,44389800
3,19999991;1,44697300
3,29999991;1,45029500
3,39999990;1,45281700
3,49999990;1,45281700
3,59999990;1,45029500
3,69999990;1,44697300
3,79999989;1,44389800
3,89999989;1,44211400
3,99999989;1,44211400
4,09999988;1,44389800
4,19999988;1,44697300
4,29999988;1,45029500
4,39999988;1,45281700
4,49999987;1,45281700
4,59999987;1,45029500
4,69999987;1,44697300
4,79999986;1,44389800
4,89999986;1,44211400
4,99999986;1,44211400
5,09999986;1,44389800
5,19999985;1,44697300
5,29999985;1,45029500
5,39999985;1,45281700
5,49999984;1,45281700
5,59999984;1,45029500
5,69999984;1,44697300
5,79999984;1,44389800
5,89999983;1,44211400
5,99999983;1,44211400
6,09999983;1,44389800
6,19999982;1,44697300
6,29999982;1,45029500
6,39999982;1,45281700
6,49999982;1,45281700
6,59999981;1,45029500
6,69999981;1,44697300
6,79999981;1,44389800
6,89999980;1,44211400
6,99999980;1,44211400
7,09999980;1,44389800
7,19999980;1,44697300
7,29999979;1,45029500
7,39999979;1,45281700
7,49999979;1,45281700
7,59999979;1,45029500
7,69999978;1,44697300
7,79999978;1,44389800
7,89999978;1,44211400
7,99999977;1,44211400
8,09999977;1,44389800
8,19999977;1,44697300
8,29999977;1,45029500
8,39999976;1,45281700
8,49999976;1,45281700
8,59999976;1,45029500
8,69999975;1,44697300
8,79999975;1,44389800
8,89999975;1,44211400
8,99999975;1,44211400
9,09999974;1,44389800
9,19999974;1,44697300
9,29999974;1,45029500
9,39999973;1,45281700
9,49999973;1,45281700
9,59999973;1,45029500
9,69999973;1,44697300
9,79999972;1,44389800
9,89999972;1,44211400
