Tid;Kanal A
(ns);(V)

-3,99999989;1,23603600
-3,89999989;1,23757400
-3,79999989;1,24021900
-3,69999990;1,24311000
-3,59999990;1,24526300
-3,49999990;1,24526300
-3,39999990;1,24311000
-3,29999991;1,24021900
-3,19999991;1,23757400
-3,09999991;1,23603600
-2,99999992;1,23609700
-2,89999992;1,23782000
-2,79999992;1,24071100
-2,69999992;1,24391000
-2,59999993;1,24637100
-2,49999993;1,24667800
-2,39999993;1,24477100
-2,29999993;1,24188000
-2,19999994;1,23892700
-2,09999994;1,23659000
-1,99999994;1,23542100
-1,89999995;1,23529800
-1,79999995;1,23585100
-1,69999995;1,23628200
-1,59999995;1,23585100
-1,49999996;1,23326800
-1,39999996;1,22871600
-1,29999996;1,22385600
-1,19999997;1,21979600
-1,09999997;1,21745800
-0,99999997;1,21745800
-0,89999997;1,21979600
-0,79999998;1,22385600
-0,69999998;1,22871600
-0,59999998;1,23326800
-0,49999999;1,23585100
-0,39999999;1,23628200
-0,29999999;1,23585100
-0,19999999;1,23523600
-0,10000000;1,23535900
0,00000000;1,23665100
0,10000000;1,23911200
0,19999999;1,24237200
0,29999999;1,24557100
0,39999999;1,24784700
0,49999999;1,24784700
0,59999998;1,24557100
0,69999998;1,24237200
0,79999998;1,23911200
0,89999997;1,23665100
0,99999997;1,23535900
1,09999997;1,23523600
1,19999997;1,23585100
1,29999996;1,23628200
1,39999996;1,23585100
1,49999996;1,23326800
1,59999995;1,22871600
1,69999995;1,22385600
1,79999995;1,21973400
1,89999995;1,21745800
1,99999994;1,21752000
2,09999994;1,21998000
2,19999994;1,22428600
2,29999993;1,22951500
2,39999993;1,23437500
2,49999993;1,23726600
2,59999993;1,23794300
2,69999992;1,23745100
2,79999992;1,23659000
2,89999992;1,23597400
2,99999992;1,23597400
3,09999991;1,23659000
3,19999991;1,23745100
3,29999991;1,23794300
3,39999990;1,23726600
3,49999990;1,23437500
3,59999990;1,22951500
3,69999990;1,22428600
3,79999989;1,21991900
3,89999989;1,21752000
3,99999989;1,21752000
4,09999988;1,21991900
4,19999988;1,22428600
4,29999988;1,22951500
4,39999988;1,23437500
4,49999987;1,23726600
4,59999987;1,23794300
4,69999987;1,23745100
4,79999986;1,23659000
4,89999986;1,23597400
4,99999986;1,23597400
5,09999986;1,23659000
5,19999985;1,23745100
5,29999985;1,23794300
5,39999985;1,23726600
5,49999984;1,23437500
5,59999984;1,22951500
5,69999984;1,22428600
5,79999984;1,21991900
5,89999983;1,21752000
5,99999983;1,21752000
6,09999983;1,21991900
6,19999982;1,22428600
6,29999982;1,22951500
6,39999982;1,23437500
6,49999982;1,23726600
6,59999981;1,23794300
6,69999981;1,23745100
6,79999981;1,23659000
6,89999980;1,23597400
6,99999980;1,23597400
7,09999980;1,23659000
7,19999980;1,23745100
7,29999979;1,23794300
7,39999979;1,23726600
7,49999979;1,23437500
7,59999979;1,22951500
7,69999978;1,22428600
7,79999978;1,21991900
7,89999978;1,21752000
7,99999977;1,21752000
8,09999977;1,21991900
8,19999977;1,22428600
8,29999977;1,22951500
8,39999976;1,23437500
8,49999976;1,23726600
8,59999976;1,23794300
8,69999975;1,23745100
8,79999975;1,23659000
8,89999975;1,23597400
8,99999975;1,23597400
9,09999974;1,23659000
9,19999974;1,23745100
9,29999974;1,23794300
9,39999973;1,23726600
9,49999973;1,23437500
9,59999973;1,22951500
9,69999973;1,22428600
9,79999972;1,21991900
9,89999972;1,21752000
