Tid;Kanal A
(ns);(mV)

-3,99999989;7,47416300
-3,89999989;7,48031400
-3,79999989;7,49876900
-3,69999990;7,51722400
-3,59999990;7,52952700
-3,49999990;7,52952700
-3,39999990;7,51722400
-3,29999991;7,49876900
-3,19999991;7,48031400
-3,09999991;7,47416300
-2,99999992;7,47416300
-2,89999992;7,48031400
-2,79999992;7,49876900
-2,69999992;7,51722400
-2,59999993;7,52952700
-2,49999993;7,52952700
-2,39999993;7,51722400
-2,29999993;7,49876900
-2,19999994;7,48031400
-2,09999994;7,47416300
-1,99999994;7,47416300
-1,89999995;7,48031400
-1,79999995;7,49876900
-1,69999995;7,51722400
-1,59999995;7,52952700
-1,49999996;7,52952700
-1,39999996;7,51722400
-1,29999996;7,49876900
-1,19999997;7,48031400
-1,09999997;7,47416300
-0,99999997;7,47416300
-0,89999997;7,48031400
-0,79999998;7,49876900
-0,69999998;7,51722400
-0,59999998;7,52952700
-0,49999999;7,52952700
-0,39999999;7,51722400
-0,29999999;7,49876900
-0,19999999;7,48031400
-0,10000000;7,47416300
0,00000000;7,47416300
0,10000000;7,48031400
0,19999999;7,49876900
0,29999999;7,51722400
0,39999999;7,52952700
0,49999999;7,52952700
0,59999998;7,51722400
0,69999998;7,49876900
0,79999998;7,48031400
0,89999997;7,47416300
0,99999997;7,47416300
1,09999997;7,48031400
1,19999997;7,49876900
1,29999996;7,51722400
1,39999996;7,52952700
1,49999996;7,52952700
1,59999995;7,51722400
1,69999995;7,49876900
1,79999995;7,48031400
1,89999995;7,47416300
1,99999994;7,47416300
2,09999994;7,48031400
2,19999994;7,49876900
2,29999993;7,51722400
2,39999993;7,52952700
2,49999993;7,52952700
2,59999993;7,51722400
2,69999992;7,49876900
2,79999992;7,48031400
2,89999992;7,47416300
2,99999992;7,47416300
3,09999991;7,48031400
3,19999991;7,49876900
3,29999991;7,51722400
3,39999990;7,52952700
3,49999990;7,52952700
3,59999990;7,51107200
3,69999990;7,49261800
3,79999989;7,47416300
3,89999989;7,46801100
3,99999989;7,47416300
4,09999988;7,50492100
4,19999988;7,54183000
4,29999988;7,59104300
4,39999988;7,64025500
4,49999987;7,67101300
4,59999987;7,67716500
4,69999987;7,65871000
4,79999986;7,60334600
4,89999986;7,52337600
4,99999986;7,41264700
5,09999986;7,27116100
5,19999985;7,09891700
5,29999985;6,90821800
5,39999985;6,69906400
5,49999984;6,47145600
5,59999984;6,23769700
5,69999984;6,01624000
5,79999984;5,81938900
5,89999983;5,66560000
5,99999983;5,54872000
6,09999983;5,48720400
6,19999982;5,46259800
6,29999982;5,46875000
6,39999982;5,49950700
6,49999982;5,53026500
6,59999981;5,55487200
6,69999981;5,57332700
6,79999981;5,59178100
6,89999980;5,59793300
6,99999980;5,60408400
7,09999980;5,61638700
7,19999980;5,62253900
7,29999979;5,63484200
7,39999979;5,64714500
7,49999979;5,64714500
7,59999979;5,63484200
7,69999978;5,61638700
7,79999978;5,60408400
7,89999978;5,59793300
7,99999977;5,61023600
8,09999977;5,62869100
8,19999977;5,66560000
8,29999977;5,71481200
8,39999976;5,75787400
8,49999976;5,78863100
8,59999976;5,80093500
8,69999975;5,78248000
8,79999975;5,73326700
8,89999975;5,65329700
8,99999975;5,54256900
9,09999974;5,39493100
9,19999974;5,22883800
9,29999974;5,03198800
9,39999973;4,81668300
9,49999973;4,58907500
9,59999973;4,36146600
9,69999973;4,14000900
9,79999972;3,94931100
9,89999972;3,79552100
