Tid;Kanal A
(ns);(mV)

-3,99999989;4,65212800
-3,89999989;4,61675600
-3,79999989;4,57523300
-3,69999990;4,52602100
-3,59999990;4,46911900
-3,49999990;4,40452700
-3,39999990;4,33532200
-3,29999991;4,27380700
-3,19999991;4,22767000
-3,09999991;4,20306300
-2,99999992;4,20613900
-2,89999992;4,23382100
-2,79999992;4,28610900
-2,69999992;4,35531500
-2,59999993;4,43220900
-2,49999993;4,50449000
-2,39999993;4,56600600
-2,29999993;4,61368100
-2,19999994;4,64751400
-2,09999994;4,66443200
-1,99999994;4,66904500
-1,89999995;4,65981800
-1,79999995;4,63828700
-1,69999995;4,60599100
-1,59999995;4,56139200
-1,49999996;4,50449000
-1,39999996;4,43682300
-1,29999996;4,36761800
-1,19999997;4,29687500
-1,09999997;4,23228400
-0,99999997;4,17230500
-0,89999997;4,11694100
-0,79999998;4,06619100
-0,69999998;4,01544000
-0,59999998;3,96315200
-0,49999999;3,90625000
-0,39999999;3,84781000
-0,29999999;3,79552100
-0,19999999;3,75707400
-0,10000000;3,73708200
0,00000000;3,74015700
0,10000000;3,76937700
0,19999999;3,82012800
0,29999999;3,88625700
0,39999999;3,96161400
0,49999999;4,03543200
0,59999998;4,09694900
0,69999998;4,14616100
0,79999998;4,17999500
0,89999997;4,19845000
0,99999997;4,19998700
1,09999997;4,18614600
1,19999997;4,15846400
1,29999996;4,11694100
1,39999996;4,06311500
1,49999996;3,99852300
1,59999995;3,92778000
1,69999995;3,85857500
1,79999995;3,79859700
1,89999995;3,75246000
1,99999994;3,72324000
2,09999994;3,70939900
2,19999994;3,70786100
2,29999993;3,71555100
2,39999993;3,72785400
2,49999993;3,73554300
2,59999993;3,73861900
2,69999992;3,73861900
2,79999992;3,73708200
2,89999992;3,73554300
2,99999992;3,73554300
3,09999991;3,73708200
3,19999991;3,73861900
3,29999991;3,73861900
3,39999990;3,73554300
3,49999990;3,72785400
3,59999990;3,71555100
3,69999990;3,70786100
3,79999989;3,70939900
3,89999989;3,72324000
3,99999989;3,75246000
4,09999988;3,79859700
4,19999988;3,85857500
4,29999988;3,92778000
4,39999988;3,99852300
4,49999987;4,06311500
4,59999987;4,11540300
4,69999987;4,15692600
4,79999986;4,18614600
4,89999986;4,19998700
4,99999986;4,19998700
5,09999986;4,18614600
5,19999985;4,15692600
5,29999985;4,11540300
5,39999985;4,06311500
5,49999984;3,99852300
5,59999984;3,92778000
5,69999984;3,86011300
5,79999984;3,80013500
5,89999983;3,75399800
5,99999983;3,72170300
6,09999983;3,70324800
6,19999982;3,69709600
6,29999982;3,69709600
6,39999982;3,70017200
6,49999982;3,70017200
6,59999981;3,69709600
6,69999981;3,69863400
6,79999981;3,70632400
6,89999980;3,72324000
6,99999980;3,75092200
7,09999980;3,78937000
7,19999980;3,83704400
7,29999979;3,88933300
7,39999979;3,94162100
7,49999979;3,99083400
7,59999979;4,03389500
7,69999978;4,07695600
7,79999978;4,12309300
7,89999978;4,17384300
7,99999977;4,23074500
8,09999977;4,29072300
8,19999977;4,35531500
8,29999977;4,41836800
8,39999976;4,47680800
8,49999976;4,52448300
8,59999976;4,56446800
8,69999975;4,59676400
8,79999975;4,62598400
8,89999975;4,65520400
8,99999975;4,68288600
9,09999974;4,71056800
9,19999974;4,73517400
9,29999974;4,75670500
9,39999973;4,76900800
9,49999973;4,76900800
9,59999973;4,75670500
9,69999973;4,73517400
9,79999972;4,71056800
9,89999972;4,68288600
