Tid;Kanal A
(ns);(mV)

-3,99999989;6,05622500
-3,89999989;6,02546700
-3,79999989;5,99317100
-3,69999990;5,95472400
-3,59999990;5,91012500
-3,49999990;5,85322300
-3,39999990;5,78709400
-3,29999991;5,72096400
-3,19999991;5,66252400
-3,09999991;5,61946300
-2,99999992;5,59178100
-2,89999992;5,58562900
-2,79999992;5,59485700
-2,69999992;5,61485000
-2,59999993;5,63791800
-2,49999993;5,65329700
-2,39999993;5,65791000
-2,29999993;5,65175900
-2,19999994;5,63638000
-2,09999994;5,61638700
-1,99999994;5,59024300
-1,89999995;5,55948500
-1,79999995;5,52565100
-1,69999995;5,48566700
-1,59999995;5,43799200
-1,49999996;5,38262700
-1,39999996;5,31649800
-1,29999996;5,25344500
-1,19999997;5,19654300
-1,09999997;5,15194400
-0,99999997;5,12426100
-0,89999997;5,11195900
-0,79999998;5,11349600
-0,69999998;5,12426100
-0,59999998;5,13810300
-0,49999999;5,14733000
-0,39999999;5,14733000
-0,29999999;5,14271600
-0,19999999;5,13810300
-0,10000000;5,13502700
0,00000000;5,13810300
0,10000000;5,14425400
0,19999999;5,15501900
0,29999999;5,16578500
0,39999999;5,17501200
0,49999999;5,17501200
0,59999998;5,16578500
0,69999998;5,15348100
0,79999998;5,14271600
0,89999997;5,13656500
0,99999997;5,13656500
1,09999997;5,14271600
1,19999997;5,15348100
1,29999996;5,16578500
1,39999996;5,17501200
1,49999996;5,17501200
1,59999995;5,16578500
1,69999995;5,15501900
1,79999995;5,14425400
1,89999995;5,13810300
1,99999994;5,13502700
2,09999994;5,13810300
2,19999994;5,14271600
2,29999993;5,14733000
2,39999993;5,14733000
2,49999993;5,13810300
2,59999993;5,12426100
2,69999992;5,11349600
2,79999992;5,11195900
2,89999992;5,12426100
2,99999992;5,15194400
3,09999991;5,19654300
3,19999991;5,25344500
3,29999991;5,31649800
3,39999990;5,38262700
3,49999990;5,43799200
3,59999990;5,48412800
3,69999990;5,52411400
3,79999989;5,55640900
3,89999989;5,58870600
3,99999989;5,61792600
4,09999988;5,64714500
4,19999988;5,67482800
4,29999988;5,69635800
4,39999988;5,71019900
4,49999987;5,71019900
4,59999987;5,69635800
4,69999987;5,67482800
4,79999986;5,64714500
4,89999986;5,61792600
4,99999986;5,58870600
5,09999986;5,55640900
5,19999985;5,52411400
5,29999985;5,48412800
5,39999985;5,43799200
5,49999984;5,38262700
5,59999984;5,31649800
5,69999984;5,25344500
5,79999984;5,19654300
5,89999983;5,15194400
5,99999983;5,12426100
6,09999983;5,11195900
6,19999982;5,11349600
6,29999982;5,12426100
6,39999982;5,13810300
6,49999982;5,14733000
6,59999981;5,14733000
6,69999981;5,14271600
6,79999981;5,13810300
6,89999980;5,13502700
6,99999980;5,13810300
7,09999980;5,14425400
7,19999980;5,15501900
7,29999979;5,16578500
7,39999979;5,17501200
7,49999979;5,17501200
7,59999979;5,16578500
7,69999978;5,15501900
7,79999978;5,14425400
7,89999978;5,13810300
7,99999977;5,13502700
8,09999977;5,13810300
8,19999977;5,14271600
8,29999977;5,14733000
8,39999976;5,14733000
8,49999976;5,13810300
8,59999976;5,12426100
8,69999975;5,11349600
8,79999975;5,11195900
8,89999975;5,12426100
8,99999975;5,15194400
9,09999974;5,19654300
9,19999974;5,25344500
9,29999974;5,31649800
9,39999973;5,38262700
9,49999973;5,43799200
9,59999973;5,48566700
9,69999973;5,52565100
9,79999972;5,55948500
9,89999972;5,59024300
